date,State0,State1,State2,Comp#,AverageState,S0Percent,S1Percent,S2Percent
2010-07-28,595,1161,951,2707,1.1315108976727004,0.21980051717768748,0.42888806797192464,0.35131141485038786
2010-07-29,590,1156,963,2709,1.137689184200812,0.21779254337393872,0.42672572905131045,0.3554817275747508
2010-07-30,600,1159,952,2711,1.1298413869420878,0.2213205459240133,0.4275175212098857,0.3511619328661011
2010-08-02,612,1178,918,2708,1.1129985228951256,0.2259970457902511,0.43500738552437224,0.33899556868537667
2010-08-03,622,1181,910,2713,1.106155547364541,0.22926649465536306,0.43531146332473275,0.33542204201990417
2010-08-04,623,1179,902,2704,1.103180473372781,0.23039940828402367,0.4360207100591716,0.33357988165680474
2010-08-05,627,1176,901,2704,1.1013313609467457,0.23187869822485208,0.4349112426035503,0.33321005917159763
2010-08-06,627,1169,908,2704,1.1039201183431953,0.23187869822485208,0.4323224852071006,0.33579881656804733
2010-08-09,633,1168,903,2704,1.0998520710059172,0.23409763313609466,0.4319526627218935,0.33394970414201186
2010-08-10,626,1164,912,2702,1.1058475203552924,0.231680236861584,0.4307920059215396,0.3375277572168764
2010-08-11,627,1171,902,2700,1.1018518518518519,0.23222222222222222,0.4337037037037037,0.3340740740740741
2010-08-12,632,1164,904,2700,1.1007407407407408,0.23407407407407407,0.4311111111111111,0.3348148148148148
2010-08-13,635,1163,901,2699,1.0985550203779177,0.2352723230826232,0.43090033345683587,0.33382734346054094
2010-08-16,643,1155,900,2698,1.0952557449962936,0.23832468495181616,0.42809488510007415,0.3335804299481097
2010-08-17,638,1150,912,2700,1.1014814814814815,0.2362962962962963,0.42592592592592593,0.3377777777777778
2010-08-18,633,1143,917,2693,1.1054585963609358,0.2350538432974378,0.42443371704418864,0.3405124396583736
2010-08-19,635,1126,934,2695,1.1109461966604823,0.23562152133580705,0.4178107606679035,0.34656771799628944
2010-08-20,642,1126,938,2706,1.1093865484109386,0.23725055432372505,0.41611234294161126,0.3466371027346637
2010-08-23,638,1120,936,2694,1.1106161841128435,0.236822568671121,0.41573867854491464,0.34743875278396436
2010-08-24,640,1112,945,2697,1.1130886169818317,0.23730070448646645,0.41230997404523545,0.3503893214682981
2010-08-25,627,1117,951,2695,1.1202226345083488,0.23265306122448978,0.41447124304267163,0.3528756957328386
2010-08-26,630,1112,948,2690,1.1182156133828995,0.2342007434944238,0.4133828996282528,0.3524163568773234
2010-08-27,633,1114,946,2693,1.116227255848496,0.2350538432974378,0.4136650575566283,0.3512810991459339
2010-08-30,638,1117,936,2691,1.11073950204385,0.23708658491267187,0.4150873281308064,0.34782608695652173
2010-08-31,648,1111,933,2692,1.1058692421991085,0.24071322436849926,0.412704309063893,0.3465824665676077
2010-09-01,647,1124,926,2697,1.103448275862069,0.23989618094178716,0.41675936225435667,0.3433444568038561
2010-09-02,648,1143,903,2694,1.0946547884187083,0.24053452115812918,0.4242761692650334,0.3351893095768374
2010-09-03,655,1144,895,2694,1.089086859688196,0.2431328878990349,0.42464736451373425,0.3322197475872309
2010-09-07,666,1143,888,2697,1.082313681868743,0.24694104560622915,0.42380422691879865,0.3292547274749722
2010-09-08,664,1150,877,2691,1.0791527313266445,0.24674842066146413,0.42735042735042733,0.3259011519881085
2010-09-09,657,1155,880,2692,1.0828380386329866,0.24405646359583952,0.4290490341753343,0.32689450222882616
2010-09-10,664,1154,872,2690,1.0773234200743493,0.24684014869888476,0.428996282527881,0.3241635687732342
2010-09-13,664,1150,883,2697,1.0812013348164626,0.24619948090470894,0.42639970337411937,0.3274008157211717
2010-09-14,670,1152,876,2698,1.0763528539659006,0.24833209785025945,0.4269829503335804,0.32468495181616014
2010-09-15,671,1149,869,2689,1.0736333209371514,0.24953514317590184,0.427296392711045,0.32316846411305317
2010-09-16,668,1152,864,2684,1.0730253353204173,0.2488822652757079,0.42921013412816694,0.32190760059612517
2010-09-17,665,1144,886,2695,1.0820037105751392,0.24675324675324675,0.42448979591836733,0.3287569573283859
2010-09-20,656,1155,882,2693,1.0839212773858151,0.2435945042703305,0.42888971407352394,0.3275157816561456
2010-09-21,653,1151,890,2694,1.0879732739420935,0.24239049740163326,0.42724573125463994,0.3303637713437268
2010-09-22,646,1153,894,2693,1.0920906052729298,0.23988117341255105,0.42814704790196806,0.3319717786854809
2010-09-23,645,1146,894,2685,1.0927374301675978,0.24022346368715083,0.42681564245810055,0.3329608938547486
